Name                                                                     MS Price  Model #              eBay Min    eBay Max    eBay Average          Margin (%)    # Listings
Surface Go 2                                                               399.99  .                    .           .           .                        0                   0
Lenovo Flex 14 2-in-1 PC                                                   599.99  81XG0000US           19.99       749.99      524.9925000000001      -14.2854              4
HP OMEN Obelisk Gaming Desktop                                             999.99  875-0142             870.0       870.0       870.0                  -14.9414              1
Acer Spin 5 SP513-53N 2-in-1 PC                                            949     SP513-53N-70KD       804.99      804.99      804.99                 -17.8897              1
Asus Zenbook S UX392FN-XS77 Laptop                                        1299     UX392FN-XS77         999.0       999.0       999.0                  -30.03                1
HP 250 G7 Notebook                                                         599     5YN09UT              24.61       689.95      451.2844444444445      -32.7323              9
ASUS TUF FX505DT-UB52 Gaming Laptop                                        499     FX505DT-UB52         118.88      619.99      369.435                -35.0711              2
Surface Book 3                                                            1399.99  .                    993.88      993.88      993.88                 -40.8611              1
Lenovo IdeaPad S540-14API Notebook                                         799     S540-14API           7.51        897.03      304.01666666666665    -162.815               3
Samsung Galaxy Book Ion 15 NP950XCJ-K01US Laptop                          1149     NP950XCJ-K01US       19.99       799.0       409.495               -180.59                2
Samsung Notebook 9 Pro 15 NP940X5N-X01US Laptop                            999     NP940X5N-X01US       14.99       899.99      287.2323809523809     -247.802              21
iBUYPOWER Trace PRO9500 Gaming Desktop                                    1149     PRO9500              3.99        399.95      89.94859999999993    -1177.4                50
Asus ROG Strix G GL531GT-UB74 Gaming PC                                   1099     GL531GT-UB74         78.99       78.99       78.99                -1291.32                1
Lenovo IdeaPad S940-14IWL Notebook                                        1199     S940-14IWL           23.29       34.99       29.14                -4014.62                2
Samsung Galaxy Book Ion 13 NP930XCJ-K01US Laptop                          1049     NP930XCJ-K01US       19.99       19.99       19.99                -5147.62                1
